Nombre;Maximo;Minimo;Media
ACCIONA;96.75;94.4;95
ACERINOX;8672.0;8468.0;8602
ACS;37.66;37.22;37
AENA;167.5;166.1;166
AMADEUS;70.64;69.56;70
ARCELORMIT.;14318.0;14.08;9494
BA.SABADELL;1033.0;1.02;345
BA.SANTANDER;4.07;4.01;4
BANKIA;2262.0;2224.0;2245
BANKINTER;6604.0;6522.0;4377
BBVA;5.05;4969.0;3332
CAIXABANK;2806.0;2762.0;2777
CELLNEX;30.7;30.17;30
CIE AUTOMOT.;23.74;23.4;23
ENAGAS;25.66;25.07;25
ENCE;3974.0;3846.0;3900
ENDESA;23.03;22.62;22
FERROVIAL;21.72;21.38;21
GRIFOLS CL.A;23.6;23.27;23
IAG;5.46;5292.0;1767
IBERDROLA;8.45;8262.0;2759
INDITEX;25.19;24.87;24
INDRA A;9685.0;9535.0;6409
INM.COLONIAL;9915.0;9745.0;9858
MAPFRE;2654.0;2.62;1770
MEDIASET;6592.0;6446.0;6494
MELIA HOTELS;8.19;8.02;8
MERLIN;12.08;11.83;11
NATURGY;26.77;26.53;26
R.E.C.;19875.0;19675.0;19751
REPSOL;14605.0;14.46;9711
SIEMENS GAME;14.39;14155.0;4727
TEC.REUNIDAS;23.2;22.78;22
TELEFONICA;7256.0;7185.0;7215
VISCOFAN;49.12;48.46;48
